postcode,gemeente,lat,lon
1011WD,Amsterdam,52.36969029,4.9006588
1011XA,Amsterdam,52.36996587,4.8999216
1012AA,Amsterdam,52.37948777,4.90074672
1012AB,Amsterdam,52.37847328,4.90314985
1012AC,Amsterdam,52.37646256,4.89917217
1012AD,Amsterdam,52.3763748,4.9000479
1012AE,Amsterdam,52.37657625,4.90099446
1012AG,Amsterdam,52.37636374,4.89958696
1012AH,Amsterdam,52.37639824,4.89923413
1012AJ,Amsterdam,52.37628431,4.89994029
1012AK,Amsterdam,52.37598037,4.90034014
1012AL,Amsterdam,52.37628298,4.90180538
1012AN,Amsterdam,52.37631211,4.90014559
1012AP,Amsterdam,52.37578434,4.90075349
1012AR,Amsterdam,52.37557872,4.90102008
1012AS,Amsterdam,52.37503984,4.9011141
1012AT,Amsterdam,52.37433654,4.90056378
1012AV,Amsterdam,52.37394043,4.90040659
1012AW,Amsterdam,52.37353558,4.90030824
1012AX,Amsterdam,52.37616802,4.90007374
1012AZ,Amsterdam,52.37573886,4.90062182
1012BA,Amsterdam,52.3751004,4.90093492
1012BB,Amsterdam,52.37450627,4.90031227
1012BC,Amsterdam,52.37339106,4.90013361
1012BD,Amsterdam,52.37433678,4.90062251
1012BE,Amsterdam,52.37418392,4.90009957
1012BG,Amsterdam,52.37367618,4.8995284
1012BH,Amsterdam,52.37633775,4.90201038
1012BJ,Amsterdam,52.37534692,4.90147786
1012BK,Amsterdam,52.37496861,4.90127641
1012BL,Amsterdam,52.3745903,4.90107497
1012BM,Amsterdam,52.37413092,4.90069125
1012BN,Amsterdam,52.37363106,4.90058237
1012BP,Amsterdam,52.37328864,4.89926834
1012BR,Amsterdam,52.37303012,4.89978514
1012BS,Amsterdam,52.37306244,4.89890371
1012BT,Amsterdam,52.37309374,4.89927358
1012BV,Amsterdam,52.37256614,4.89842459
1012BW,Amsterdam,52.37218704,4.89803229
1012BX,Amsterdam,52.37219604,4.89783547
1012BZ,Amsterdam,52.37197019,4.89775569
1012CA,Amsterdam,52.37186191,4.89765409
1012CB,Amsterdam,52.37164834,4.89817039
1012CC,Amsterdam,52.37141088,4.89852093
1012CD,Amsterdam,52.37146423,4.89711517
1012CE,Amsterdam,52.37136482,4.89698411
1012CG,Amsterdam,52.37080329,4.89812097
1012CH,Amsterdam,52.37042225,4.89725884
1012CJ,Amsterdam,52.37044751,4.89684741
1012CK,Amsterdam,52.37022895,4.8961597
1012CL,Amsterdam,52.3701109,4.89586733
1012CM,Amsterdam,52.37000305,4.89586853
1012CN,Amsterdam,52.36945239,4.89528729
1012CP,Amsterdam,52.36780338,4.8942631
1012CR,Amsterdam,52.3731852,4.90034145
1012CS,Amsterdam,52.37248998,4.89957081
1012CT,Amsterdam,52.37213832,4.89929568
1012CV,Amsterdam,52.3717509,4.89906499
1012CW,Amsterdam,52.3714981,4.89878878
1012CX,Amsterdam,52.37080329,4.89812097
1012CZ,Amsterdam,52.36960871,4.8961372
1012DA,Amsterdam,52.37438021,4.90025491
1012DB,Amsterdam,52.37362189,4.89944089
1012DC,Amsterdam,52.37298077,4.89871371
1012DD,Amsterdam,52.37252035,4.89821951
1012DE,Amsterdam,52.37229458,4.89795769
1012DG,Amsterdam,52.37190643,4.89755081
1012DH,Amsterdam,52.37131077,4.89695534
1012DJ,Amsterdam,52.37102202,4.89667954
1012DK,Amsterdam,52.37067018,4.89636039
1012DL,Amsterdam,52.37006566,4.89579442
1012DM,Amsterdam,52.37513617,4.90049626
1012DN,Amsterdam,52.3745228,4.89995964
1012DP,Amsterdam,52.3742609,4.89965414
1012DR,Amsterdam,52.37340244,4.89853285
1012DS,Amsterdam,52.37284299,4.89799569
1012DT,Amsterdam,52.37240091,4.8975894
1012DV,Amsterdam,52.3720849,4.89724047
1012DW,Amsterdam,52.37142609,4.89658697
1012DX,Amsterdam,52.37028013,4.89549837
1012DZ,Amsterdam,52.37529764,4.90042106
1012EA,Amsterdam,52.37466617,4.89985527
1012EB,Amsterdam,52.37377201,4.89879311
1012EC,Amsterdam,52.37259735,4.89727886
1012ED,Amsterdam,52.37182007,4.89623019
1012EE,Amsterdam,52.3713962,4.89588246
1012EG,Amsterdam,52.37094458,4.89560391
1012EH,Amsterdam,52.37526114,4.9002893
1012EJ,Amsterdam,52.37462033,4.8996355
1012EK,Amsterdam,52.3741313,4.89907013
1012EL,Amsterdam,52.37380754,4.89868992
1012EM,Amsterdam,52.37338672,4.89817356
1012EN,Amsterdam,52.37317497,4.89785987
1012EP,Amsterdam,52.37294913,4.89758335
1012ER,Amsterdam,52.3727052,4.89727767
1012ES,Amsterdam,52.37256954,4.89707359
1012ET,Amsterdam,52.3721271,4.89657921
1012EV,Amsterdam,52.37195555,4.89636161
1012EW,Amsterdam,52.37169339,4.89602601
1012EX,Amsterdam,52.37094458,4.89560391
1012EZ,Amsterdam,52.37001682,4.89485521
1012GA,Amsterdam,52.36940855,4.89339363
1012GB,Amsterdam,52.36922318,4.89289452
1012GC,Amsterdam,52.36915911,4.8925854
1012GD,Amsterdam,52.37576335,4.90001944
1012GE,Amsterdam,52.3750686,4.89936624
1012GG,Amsterdam,52.37387271,4.89795463
1012GH,Amsterdam,52.37299055,4.89673119
1012GJ,Amsterdam,52.37273817,4.89655777
1012GK,Amsterdam,52.37206047,4.89568421
1012GL,Amsterdam,52.37145552,4.89501545
1012GM,Amsterdam,52.36982466,4.89403507
1012GN,Amsterdam,52.3759686,4.89966474
1012GP,Amsterdam,52.37579542,4.89907922
1012GR,Amsterdam,52.37537928,4.89842296
1012GS,Amsterdam,52.37519875,4.89823404
